Accession,Species,Genus,Family,Order,Class,Phylum,Kingdom,Complete_BUSCOs,Single_Copy_BUSCOs,Fragmented_BUSCOs,Missing_BUSCOs,Selection_Reason,primary_lifestyle,Growth_form_template
GCA_033807595.1,Acrodontium crateriforme,Acrodontium,Teratosphaeriaceae,Mycosphaerellales,Dothideomycetes,Ascomycota,Fungi,755,753,1,2,unique,plant_pathogen,filamentous_mycelium
GCA_016098155.1,Actinomortierella ambigua,Actinomortierella,Mortierellaceae,Mortierellales,Mortierellomycetes,Mucoromycota,Fungi,732,719,7,19,GCA_only_from_3,,
GCF_000300555.1,Agaricus bisporus,Agaricus,Agaricaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,734,730,3,21,GCF_preferred_from_4,soil_saprotroph,filamentous_mycelium
GCA_013053245.1,Agrocybe pediades,Agrocybe,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,738,734,6,14,GCA_only_from_2,soil_saprotroph,filamentous_mycelium
GCA_022814335.1,Agyrium rufum,Agyrium,Pertusariaceae,Pertusariales,Lecanoromycetes,Ascomycota,Fungi,754,752,0,4,unique,unspecified_saprotroph,filamentous_mycelium
GCA_001636795.1,Akanthomyces lecanii,Akanthomyces,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,747,745,2,9,GCA_only_from_2,animal_parasite,filamentous_mycelium
GCF_028009165.1,Akanthomyces muscarius,Akanthomyces,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,751,747,2,5,GCF_preferred_from_2,animal_parasite,filamentous_mycelium
GCA_905337325.1,Alectoria fallacina,Alectoria,Parmeliaceae,Lecanorales,Lecanoromycetes,Ascomycota,Fungi,751,749,2,5,unique,lichenized,thallus_photosynthetic
GCA_904859925.1,Alectoria sarmentosa,Alectoria,Parmeliaceae,Lecanorales,Lecanoromycetes,Ascomycota,Fungi,743,738,2,13,GCA_only_from_2,lichenized,thallus_photosynthetic
GCA_027604705.1,Allomyces arbusculus,Allomyces,Blastocladiaceae,Blastocladiales,Blastocladiomycetes,Blastocladiomycota,Fungi,603,582,37,118,unique,soil_saprotroph,zoosporic
GCA_027604645.1,Allomyces javanicus,Allomyces,Blastocladiaceae,Blastocladiales,Blastocladiomycetes,Blastocladiomycota,Fungi,582,539,30,146,unique,soil_saprotroph,zoosporic
GCA_000151295.1,Allomyces macrogynus,Allomyces,Blastocladiaceae,Blastocladiales,Blastocladiomycetes,Blastocladiomycota,Fungi,633,202,29,96,unique,soil_saprotroph,zoosporic
GCF_001642055.1,Alternaria alternata,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,751,749,1,6,GCF_preferred_from_6,plant_pathogen,filamentous_mycelium
GCF_004154835.1,Alternaria arborescens,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,752,750,3,3,GCF_preferred_from_4,plant_pathogen,filamentous_mycelium
GCF_024043155.1,Alternaria arbusti,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,748,746,3,7,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_907166805.1,Alternaria atra,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,747,703,1,10,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_013036055.1,Alternaria burnsii,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,749,747,4,5,GCF_preferred_from_3,plant_pathogen,filamentous_mycelium
GCF_024043145.1,Alternaria conjuncta,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,750,749,3,5,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_042100115.1,Alternaria dauci,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,753,751,0,5,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_004156025.2,Alternaria gaisen,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,752,750,1,5,unique,plant_pathogen,filamentous_mycelium
GCF_023758085.1,Alternaria hordeiaustralica,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,752,750,1,5,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_024043175.1,Alternaria infectoria,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,749,747,2,7,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_023757995.1,Alternaria metachromatica,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,752,751,2,4,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_023758075.1,Alternaria novae-zelandiae,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,748,747,1,9,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_019702505.1,Alternaria panax,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,753,751,1,4,unique,plant_pathogen,filamentous_mycelium
GCF_024291825.1,Alternaria postmessia,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,749,747,3,6,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_020736505.1,Alternaria rosae,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,749,739,2,7,GCF_preferred_from_3,plant_pathogen,filamentous_mycelium
GCA_023758125.1,Alternaria sp. Ai002NY15,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,751,750,1,6,unique,plant_pathogen,filamentous_mycelium
GCA_023758005.1,Alternaria sp. BMP 0032,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,749,748,2,7,unique,plant_pathogen,filamentous_mycelium
GCA_023758145.1,Alternaria sp. BMP 2799,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,752,751,1,5,unique,plant_pathogen,filamentous_mycelium
GCA_003574525.1,Alternaria sp. MG1,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,748,746,3,7,unique,plant_pathogen,filamentous_mycelium
GCA_004154845.1,Alternaria tenuissima,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,751,749,3,4,GCA_only_from_7,plant_pathogen,filamentous_mycelium
GCF_023758025.1,Alternaria triticimaculans,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,747,746,4,7,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_023758065.1,Alternaria ventricosa,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,753,752,1,4,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_023758015.1,Alternaria viburni,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,752,751,2,4,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_026054675.1,Alyxoria varia,Alyxoria,Lecanographaceae,Arthoniales,Arthoniomycetes,Ascomycota,Fungi,727,726,5,26,unique,lichenized,thallus_photosynthetic
GCA_001691785.3,Amanita brunnescens,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,713,695,20,25,unique,ectomycorrhizal,filamentous_mycelium
GCA_001691775.3,Amanita inopinata,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,739,737,4,15,unique,ectomycorrhizal,filamentous_mycelium
GCA_000827485.1,Amanita muscaria,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,723,717,15,20,unique,ectomycorrhizal,filamentous_mycelium
GCA_032173475.1,Amanita phalloides,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,735,732,7,16,unique,ectomycorrhizal,filamentous_mycelium
GCA_001691755.2,Amanita polypyramis,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,727,726,7,24,unique,ectomycorrhizal,filamentous_mycelium
GCA_015039365.1,Amanita rubescens,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,735,393,2,21,unique,ectomycorrhizal,filamentous_mycelium
GCA_002554575.1,Amanita thiersii,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,729,728,9,20,unique,ectomycorrhizal,filamentous_mycelium
GCA_910591765.1,Ambispora leptoticha,Ambispora,Ambisporaceae,Archaeosporales,Glomeromycetes,Mucoromycota,Fungi,642,635,40,76,unique,other,filamentous_mycelium
GCA_010015725.1,Amniculicola lignicola,Amniculicola,Amniculicolaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,757,754,0,1,unique,wood_saprotroph,filamentous_mycelium
GCF_003019875.1,Amorphotheca resinae,Amorphotheca,Amorphothecaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,747,746,4,7,GCF_preferred_from_2,unspecified_saprotroph,filamentous_mycelium
GCA_010094095.1,Ampelomyces quisqualis,Ampelomyces,Phaeosphaeriaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,752,748,0,6,unique,plant_pathogen,filamentous_mycelium
GCA_019669835.1,Amylocarpus encephaloides,Amylocarpus,Unknown,Helotiales,Leotiomycetes,Ascomycota,Fungi,750,746,1,7,unique,wood_saprotroph,filamentous_mycelium
GCA_022376435.1,Amylocystis lapponica,Amylocystis,Postiaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,693,643,5,60,unique,wood_saprotroph,filamentous_mycelium
GCA_022385825.1,Amylostereum chailletii,Amylostereum,Stereaceae,Russulales,Agaricomycetes,Basidiomycota,Fungi,712,705,15,31,unique,wood_saprotroph,filamentous_mycelium
GCA_002104895.1,Anaeromyces robustus,Anaeromyces,Neocallimastigaceae,Neocallimastigales,Neocallimastigomycetes,Chytridiomycota,Fungi,618,595,15,125,unique,other,zoosporic
GCA_022836615.1,Annulohypoxylon bovei,Annulohypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,752,751,1,5,unique,wood_saprotroph,filamentous_mycelium
GCF_022496945.1,Annulohypoxylon maeteangense,Annulohypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,752,751,2,4,GCF_preferred_from_2,wood_saprotroph,filamentous_mycelium
GCA_022695765.1,Annulohypoxylon moriforme,Annulohypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,749,747,2,7,unique,wood_saprotroph,filamentous_mycelium
GCA_022496965.1,Annulohypoxylon nitens,Annulohypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,751,749,1,6,unique,wood_saprotroph,filamentous_mycelium
GCA_040104375.1,Annulohypoxylon sp. FPYF3050,Annulohypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,751,750,2,5,unique,wood_saprotroph,filamentous_mycelium
GCA_022695755.1,Annulohypoxylon stygium,Annulohypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,753,751,1,4,unique,wood_saprotroph,filamentous_mycelium
GCF_022578515.1,Annulohypoxylon truncatum,Annulohypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,752,751,2,4,GCF_preferred_from_2,wood_saprotroph,filamentous_mycelium
GCA_963556695.1,Anthostomella pinea,Anthostomella,Xylariaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,748,746,3,7,unique,other,filamentous_mycelium
GCA_004802725.1,Antrodiella citrinella,Antrodiella,Steccherinaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,739,735,3,16,unique,wood_saprotroph,filamentous_mycelium
GCA_029218145.1,Aphanocladium album,Aphanocladium,Unknown,Hypocreales,Sordariomycetes,Ascomycota,Fungi,742,737,8,8,unique,other,filamentous_mycelium
GCA_030549205.1,Apiosordaria backusii,Apiosordaria,Lasiosphaeriaceae,Sordariales,Sordariomycetes,Ascomycota,Fungi,741,741,11,6,unique,other,filamentous_mycelium
GCA_039105305.1,Apiospora arundinis,Apiospora,Apiosporaceae,Amphisphaeriales,Sordariomycetes,Ascomycota,Fungi,753,752,1,4,GCA_only_from_5,plant_pathogen,filamentous_mycelium
GCF_038362705.1,Apiospora aurea,Apiospora,Apiosporaceae,Amphisphaeriales,Sordariomycetes,Ascomycota,Fungi,737,736,11,10,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_038363865.1,Apiospora hydei,Apiospora,Apiosporaceae,Amphisphaeriales,Sordariomycetes,Ascomycota,Fungi,722,719,19,17,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCF_038363985.1,Apiospora kogelbergensis,Apiospora,Apiosporaceae,Amphisphaeriales,Sordariomycetes,Ascomycota,Fungi,730,730,15,13,GCF_preferred_from_3,plant_pathogen,filamentous_mycelium
GCF_038362585.1,Apiospora marii,Apiospora,Apiosporaceae,Amphisphaeriales,Sordariomycetes,Ascomycota,Fungi,747,744,5,6,GCF_preferred_from_3,plant_pathogen,filamentous_mycelium
GCF_038363925.1,Apiospora phragmitis,Apiospora,Apiosporaceae,Amphisphaeriales,Sordariomycetes,Ascomycota,Fungi,714,713,30,14,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_038363885.1,Apiospora rasikravindrae,Apiospora,Apiosporaceae,Amphisphaeriales,Sordariomycetes,Ascomycota,Fungi,737,736,10,11,unique,plant_pathogen,filamentous_mycelium
GCA_038363915.1,Apiospora saccharicola,Apiospora,Apiosporaceae,Amphisphaeriales,Sordariomycetes,Ascomycota,Fungi,743,740,7,8,GCA_only_from_2,plant_pathogen,filamentous_mycelium
GCA_038364195.1,Apiospora sp. TS-2023a,Apiospora,Apiosporaceae,Amphisphaeriales,Sordariomycetes,Ascomycota,Fungi,738,733,11,9,unique,plant_pathogen,filamentous_mycelium
GCF_003942205.1,Apiotrichum porosum,Apiotrichum,Trichosporonaceae,Trichosporonales,Tremellomycetes,Basidiomycota,Fungi,728,726,2,28,GCF_preferred_from_2,soil_saprotroph,yeast-like
GCF_010093885.1,Aplosporella prunicola,Aplosporella,Aplosporellaceae,Botryosphaeriales,Dothideomycetes,Ascomycota,Fungi,752,739,1,5,GCF_preferred_from_2,plant_pathogen,filamentous_mycelium
GCA_033439685.1,Apodospora peruviana,Apodospora,Lasiosphaeriaceae,Sordariales,Sordariomycetes,Ascomycota,Fungi,745,738,2,11,unique,unspecified_saprotroph,filamentous_mycelium
GCA_014839865.1,Apophysomyces ossiformis,Apophysomyces,Mucoraceae,Mucorales,Mucoromycetes,Mucoromycota,Fungi,729,663,7,22,unique,soil_saprotroph,filamentous_mycelium
GCA_016097715.1,Apophysomyces sp. BC1015,Apophysomyces,Mucoraceae,Mucorales,Mucoromycetes,Mucoromycota,Fungi,727,650,7,24,unique,soil_saprotroph,filamentous_mycelium
GCA_016097735.1,Apophysomyces sp. BC1021,Apophysomyces,Mucoraceae,Mucorales,Mucoromycetes,Mucoromycota,Fungi,726,647,7,25,unique,soil_saprotroph,filamentous_mycelium
GCA_016097755.1,Apophysomyces sp. BC1034,Apophysomyces,Mucoraceae,Mucorales,Mucoromycetes,Mucoromycota,Fungi,726,648,7,25,unique,soil_saprotroph,filamentous_mycelium
GCA_032988195.1,Arachnomyces sp. PD_36,Arachnomyces,Arachnomycetaceae,Onygenales,Eurotiomycetes,Ascomycota,Fungi,749,746,3,6,unique,animal_parasite,filamentous_mycelium
GCA_030435635.1,Armillaria borealis,Armillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,722,631,7,29,unique,litter_saprotroph,filamentous_mycelium
GCA_030407015.1,Armillaria fumosa,Armillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,721,714,17,20,unique,litter_saprotroph,filamentous_mycelium
GCA_002307695.1,Armillaria gallica,Armillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,730,706,6,22,unique,litter_saprotroph,filamentous_mycelium
GCA_030435615.1,Armillaria luteobubalina,Armillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,729,462,11,18,unique,litter_saprotroph,filamentous_mycelium
GCA_030407055.1,Armillaria mellea,Armillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,726,599,13,19,unique,litter_saprotroph,filamentous_mycelium
GCA_030407065.1,Armillaria nabsnona,Armillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,721,708,7,30,unique,litter_saprotroph,filamentous_mycelium
GCA_030435655.1,Armillaria novae-zelandiae,Armillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,717,627,12,29,unique,litter_saprotroph,filamentous_mycelium
GCA_900157425.1,Armillaria ostoyae,Armillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,728,719,5,25,unique,litter_saprotroph,filamentous_mycelium
GCA_002307675.1,Armillaria solidipes,Armillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,722,710,9,27,unique,litter_saprotroph,filamentous_mycelium
GCA_036971725.1,Arthrobotrys conoides,Arthrobotrys,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota,Fungi,742,741,4,12,unique,animal_parasite,filamentous_mycelium
GCA_012184315.1,Arthrobotrys entomopaga,Arthrobotrys,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota,Fungi,741,740,1,16,unique,animal_parasite,filamentous_mycelium
GCF_004000055.1,Arthrobotrys flagrans,Arthrobotrys,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota,Fungi,735,734,10,13,GCF_preferred_from_2,animal_parasite,filamentous_mycelium
GCA_036971655.1,Arthrobotrys megalospora,Arthrobotrys,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota,Fungi,729,727,7,22,unique,animal_parasite,filamentous_mycelium
GCA_036971715.1,Arthrobotrys musiformis,Arthrobotrys,Orbiliaceae,Orbiliales,Orbiliomycetes,Ascomycota,Fungi,743,742,6,9,unique,animal_parasite,filamentous_mycelium
GCA_032989685.1,Arthroderma sp. PD_2,Arthroderma,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota,Fungi,683,681,42,33,unique,animal_parasite,filamentous_mycelium
GCF_011692745.1,Arthroderma uncinatum,Arthroderma,Arthrodermataceae,Onygenales,Eurotiomycetes,Ascomycota,Fungi,752,748,1,5,GCF_preferred_from_2,animal_parasite,filamentous_mycelium
GCA_018855395.1,Arthromyces matolae,Arthromyces,Lyophyllaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,659,654,51,48,unique,soil_saprotroph,filamentous_mycelium
GCA_022160305.1,Artomyces pyxidatus,Artomyces,Auriscalpiaceae,Russulales,Agaricomycetes,Basidiomycota,Fungi,740,730,3,15,unique,wood_saprotroph,filamentous_mycelium
GCA_003788565.2,Ascobolus immersus,Ascobolus,Ascobolaceae,Pezizales,Pezizomycetes,Ascomycota,Fungi,721,711,9,28,unique,litter_saprotroph,filamentous_mycelium
GCA_027946445.1,Ascochyta clinopodiicola,Ascochyta,Didymellaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,743,741,10,5,unique,plant_pathogen,filamentous_mycelium
GCA_004011705.1,Ascochyta lentis,Ascochyta,Didymellaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,752,750,2,4,unique,plant_pathogen,filamentous_mycelium
GCF_004011695.2,Ascochyta rabiei,Ascochyta,Didymellaceae,Pleosporales,Dothideomycetes,Ascomycota,Fungi,751,748,4,3,GCF_preferred_from_3,plant_pathogen,filamentous_mycelium
GCA_004786065.1,Ascodesmis nigricans,Ascodesmis,Ascodesmidaceae,Pezizales,Pezizomycetes,Ascomycota,Fungi,746,733,3,9,unique,other,filamentous_mycelium
GCF_001661345.1,Ascoidea rubescens,Ascoidea,Ascoideaceae,Ascoideales,Saccharomycetes,Ascomycota,Fungi,688,679,14,56,GCF_preferred_from_2,nectar/tap_saprotroph,yeast-like
GCA_024244165.1,Ascosphaera acerosa,Ascosphaera,Ascosphaeraceae,Onygenales,Eurotiomycetes,Ascomycota,Fungi,571,560,91,96,unique,animal_parasite,filamentous_mycelium
GCA_024244195.1,Ascosphaera aggregata,Ascosphaera,Ascosphaeraceae,Onygenales,Eurotiomycetes,Ascomycota,Fungi,669,667,56,33,unique,animal_parasite,filamentous_mycelium
GCA_001636715.1,Ascosphaera apis,Ascosphaera,Ascosphaeraceae,Onygenales,Eurotiomycetes,Ascomycota,Fungi,703,701,27,28,unique,animal_parasite,filamentous_mycelium
GCA_024244595.1,Ascosphaera atra,Ascosphaera,Ascosphaeraceae,Onygenales,Eurotiomycetes,Ascomycota,Fungi,365,298,199,194,unique,animal_parasite,filamentous_mycelium
GCA_024244615.1,Ascosphaera pollenicola,Ascosphaera,Ascosphaeraceae,Onygenales,Eurotiomycetes,Ascomycota,Fungi,602,590,95,61,unique,animal_parasite,filamentous_mycelium
GCF_003184765.1,Aspergillus aculeatinus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,745,743,4,9,GCF_preferred_from_2,unspecified_saprotroph,filamentous_mycelium
GCF_001890905.1,Aspergillus aculeatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,747,745,3,8,GCF_preferred_from_2,unspecified_saprotroph,filamentous_mycelium
GCF_023601865.1,Aspergillus affinis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,747,744,2,9,GCF_preferred_from_2,unspecified_saprotroph,filamentous_mycelium
GCF_009176365.1,Aspergillus alliaceus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,750,748,0,8,GCF_preferred_from_4,unspecified_saprotroph,filamentous_mycelium
GCA_009193545.1,Aspergillus arachidicola,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,750,746,2,6,GCA_only_from_2,unspecified_saprotroph,filamentous_mycelium
GCA_009193465.1,Aspergillus avenaceus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,751,749,1,6,unique,unspecified_saprotroph,filamentous_mycelium
GCA_003850985.1,Aspergillus awamori,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,750,748,2,6,unique,unspecified_saprotroph,filamentous_mycelium
GCA_009193595.1,Aspergillus bertholletiae,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,750,748,1,7,unique,unspecified_saprotroph,filamentous_mycelium
GCF_001792695.1,Aspergillus bombycis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,741,735,6,11,GCF_preferred_from_2,unspecified_saprotroph,filamentous_mycelium
GCF_001889945.1,Aspergillus brasiliensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,750,747,1,7,GCF_preferred_from_5,unspecified_saprotroph,filamentous_mycelium
GCF_003184695.1,Aspergillus brunneoviolaceus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,744,742,6,8,GCF_preferred_from_2,unspecified_saprotroph,filamentous_mycelium
GCF_009193585.1,Aspergillus caelatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,749,745,2,7,GCF_preferred_from_2,unspecified_saprotroph,filamentous_mycelium
GCA_001511075.1,Aspergillus calidoustus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,747,745,6,5,unique,unspecified_saprotroph,filamentous_mycelium
GCA_045785085.1,Aspergillus californicus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,748,747,5,5,unique,unspecified_saprotroph,filamentous_mycelium
